id,peer,task,Date
0,gantedil,C2_SimpleBashUtils,2022-09-05
1,mirrorar,C2_SimpleBashUtils,2022-09-06
2,hvayon,C2_SimpleBashUtils,2022-09-06
3,merymor,C2_SimpleBashUtils,2022-09-09
4,mrtester,C2_SimpleBashUtils,2022-09-15
5,gantedil,C3_s21_string+,2022-09-17
6,mirrorar,C3_s21_string+,2022-09-17
7,hvayon,C3_s21_string+,2022-09-17
8,queuerter,C2_SimpleBashUtils,2022-09-18
9,mirrorar,C5_s21_decimal,2022-09-20
10,mirrorar,C6_s21_matrix,2022-09-28
11,mirrorar,C7_SmartCalc_v1.0,2022-10-10
12,mirrorar,C8_3DViewer_v1.0,2022-10-15
13,neeksel,C2_SimpleBashUtils,2022-10-16
14,hvayon,C5_s21_decimal,2022-10-16
15,hvayon,C6_s21_matrix,2022-10-26
16,gantedil,C5_s21_decimal,2022-10-29
17,hvayon,C7_SmartCalc_v1.0,2022-11-01
18,hvayon,C8_3DViewer_v1.0,2022-11-10
19,mirrorar,CPP1_s21_matrix+,2022-11-15
20,gantedil,D01_Linux,2022-11-17
