id,Check,checkingpeer,state,Time
1,0,mirrorar,Start,13:00:00
2,0,mirrorar,Success,13:30:00
3,1,hvayon,Start,14:00:00
4,1,hvayon,Success,14:30:00
5,2,gantedil,Start,15:00:00
6,2,gantedil,Success,15:30:00
7,3,gantedil,Start,11:15:00
8,3,gantedil,Failure,11:45:00
9,4,merymor,Start,13:00:00
10,4,merymor,Failure,13:30:00
11,5,monkeydluffy,Start,17:00:00
12,5,monkeydluffy,Success,17:30:00
13,6,monkeydluffy,Start,17:30:00
14,6,monkeydluffy,Success,18:00:00
15,7,monkeydluffy,Start,12:15:00
16,7,monkeydluffy,Success,12:45:00
17,8,gantedil,Start,12:00:00
18,8,gantedil,Success,12:30:00
19,9,gantedil,Start,05:00:00
20,9,gantedil,Success,05:30:00
21,10,neeksel,Start,06:00:00
22,10,neeksel,Success,06:30:00
23,11,mrtester,Start,08:00:00
24,11,mrtester,Success,09:00:00
25,12,hvayon,Start,14:00:00
26,12,hvayon,Success,14:30:00
27,13,hvayon,Start,12:00:00
28,13,hvayon,Success,12:30:00
29,14,merymor,Start,04:00:00
30,14,merymor,Success,04:30:00
31,15,neeksel,Start,18:30:00
32,15,neeksel,Success,19:00:00
33,16,neeksel,Start,11:00:00
34,16,neeksel,Success,11:30:00
35,17,mirrorar,Start,14:00:00
36,17,mirrorar,Success,15:00:00
37,18,queuerter,Start,22:00:00
38,18,queuerter,Failure,22:30:00
39,19,queuerter,Start,00:00:00
40,19,queuerter,Success,00:30:00
41,20,neeksel,Start,01:00:00
42,20,neeksel,Success,01:30:00
