id,Check,state,Time
1,0,Start,13:31:00
2,0,Success,13:33:00
3,1,Start,14:31:00
4,1,Success,15:35:00
5,2,Start,15:31:00
6,2,Success,15:33:00
7,5,Start,17:31:00
8,5,Success,17:34:00
9,6,Start,18:02:00
10,6,Success,18:07:00
11,7,Start,12:46:00
12,7,Success,12:48:00
13,8,Start,12:31:00
14,8,Failure,12:32:00
15,9,Start,05:31:00
16,9,Success,05:38:00
17,10,Start,06:31:00
18,10,Success,06:33:00
19,11,Start,09:01:00
20,11,Success,09:09:00
21,12,Start,14:31:00
22,12,Success,14:33:00
23,13,Start,12:32:00
24,13,Success,12:40:00
25,14,Start,04:32:00
26,14,Success,04:36:00
27,15,Start,19:02:00
28,15,Success,19:05:00
29,16,Start,11:32:00
30,16,Failure,11:33:00
31,17,Start,15:02:00
32,17,Success,15:04:00
33,19,Start,00:32:00
34,19,Failure,00:40:00
35,20,Start,01:32:00
36,20,Success,01:39:00
